sample_id	lane	forward_filename	reverse_filename
42-i3_S9	L001	42-i3_S9_L001_R1_001.fastq.gz	42-i3_S9_L001_R2_001.fastq.gz
42-i3_S9	L002	42-i3_S9_L002_R1_001.fastq.gz	42-i3_S9_L002_R2_001.fastq.gz
42-i4_S47	L001	42-i4_S47_L001_R1_001.fastq.gz	42-i4_S47_L001_R2_001.fastq.gz
42-i4_S47	L002	42-i4_S47_L002_R1_001.fastq.gz	42-i4_S47_L002_R2_001.fastq.gz
42-i5_S48	L001	42-i5_S48_L001_R1_001.fastq.gz	42-i5_S48_L001_R2_001.fastq.gz
42-i5_S48	L002	42-i5_S48_L002_R1_001.fastq.gz	42-i5_S48_L002_R2_001.fastq.gz
42-i6_S11	L001	42-i6_S11_L001_R1_001.fastq.gz	42-i6_S11_L001_R2_001.fastq.gz
42-i6_S11	L002	42-i6_S11_L002_R1_001.fastq.gz	42-i6_S11_L002_R2_001.fastq.gz
42-i8_S5	L001	42-i8_S5_L001_R1_001.fastq.gz	42-i8_S5_L001_R2_001.fastq.gz
42-i8_S5	L002	42-i8_S5_L002_R1_001.fastq.gz	42-i8_S5_L002_R2_001.fastq.gz
42-i9_S17	L001	42-i9_S17_L001_R1_001.fastq.gz	42-i9_S17_L001_R2_001.fastq.gz
42-i9_S17	L002	42-i9_S17_L002_R1_001.fastq.gz	42-i9_S17_L002_R2_001.fastq.gz
42-i11_S21	L001	42-i11_S21_L001_R1_001.fastq.gz	42-i11_S21_L001_R2_001.fastq.gz
42-i11_S21	L002	42-i11_S21_L002_R1_001.fastq.gz	42-i11_S21_L002_R2_001.fastq.gz
42-i12_S41	L001	42-i12_S41_L001_R1_001.fastq.gz	42-i12_S41_L001_R2_001.fastq.gz
42-i12_S41	L002	42-i12_S41_L002_R1_001.fastq.gz	42-i12_S41_L002_R2_001.fastq.gz
42-i13_S3	L001	42-i13_S3_L001_R1_001.fastq.gz	42-i13_S3_L001_R2_001.fastq.gz
42-i13_S3	L002	42-i13_S3_L002_R1_001.fastq.gz	42-i13_S3_L002_R2_001.fastq.gz
42-i15_S22	L001	42-i15_S22_L001_R1_001.fastq.gz	42-i15_S22_L001_R2_001.fastq.gz
42-i15_S22	L002	42-i15_S22_L002_R1_001.fastq.gz	42-i15_S22_L002_R2_001.fastq.gz
42-i16_S16	L001	42-i16_S16_L001_R1_001.fastq.gz	42-i16_S16_L001_R2_001.fastq.gz
42-i16_S16	L002	42-i16_S16_L002_R1_001.fastq.gz	42-i16_S16_L002_R2_001.fastq.gz
42-i17_S29	L001	42-i17_S29_L001_R1_001.fastq.gz	42-i17_S29_L001_R2_001.fastq.gz
42-i17_S29	L002	42-i17_S29_L002_R1_001.fastq.gz	42-i17_S29_L002_R2_001.fastq.gz
42-i19_S10	L001	42-i19_S10_L001_R1_001.fastq.gz	42-i19_S10_L001_R2_001.fastq.gz
42-i19_S10	L002	42-i19_S10_L002_R1_001.fastq.gz	42-i19_S10_L002_R2_001.fastq.gz
42-i21_S4	L001	42-i21_S4_L001_R1_001.fastq.gz	42-i21_S4_L001_R2_001.fastq.gz
42-i21_S4	L002	42-i21_S4_L002_R1_001.fastq.gz	42-i21_S4_L002_R2_001.fastq.gz
42-i22_S15	L001	42-i22_S15_L001_R1_001.fastq.gz	42-i22_S15_L001_R2_001.fastq.gz
42-i22_S15	L002	42-i22_S15_L002_R1_001.fastq.gz	42-i22_S15_L002_R2_001.fastq.gz
42-i25_S40	L001	42-i25_S40_L001_R1_001.fastq.gz	42-i25_S40_L001_R2_001.fastq.gz
42-i25_S40	L002	42-i25_S40_L002_R1_001.fastq.gz	42-i25_S40_L002_R2_001.fastq.gz
42-i28_S34	L001	42-i28_S34_L001_R1_001.fastq.gz	42-i28_S34_L001_R2_001.fastq.gz
42-i28_S34	L002	42-i28_S34_L002_R1_001.fastq.gz	42-i28_S34_L002_R2_001.fastq.gz
42-i29_S28	L001	42-i29_S28_L001_R1_001.fastq.gz	42-i29_S28_L001_R2_001.fastq.gz
42-i29_S28	L002	42-i29_S28_L002_R1_001.fastq.gz	42-i29_S28_L002_R2_001.fastq.gz
42-i30_S35	L001	42-i30_S35_L001_R1_001.fastq.gz	42-i30_S35_L001_R2_001.fastq.gz
42-i30_S35	L002	42-i30_S35_L002_R1_001.fastq.gz	42-i30_S35_L002_R2_001.fastq.gz
42-i31_S23	L001	42-i31_S23_L001_R1_001.fastq.gz	42-i31_S23_L001_R2_001.fastq.gz
42-i31_S23	L002	42-i31_S23_L002_R1_001.fastq.gz	42-i31_S23_L002_R2_001.fastq.gz